sample_id,group,gene,count
S01,Control,GENE1,41
S02,Control,GENE1,36
S03,Control,GENE1,49
S04,Control,GENE1,40
S05,Control,GENE1,36
S06,Control,GENE1,40
S01,Treatment,GENE1,62
S02,Treatment,GENE1,70
S03,Treatment,GENE1,62
S04,Treatment,GENE1,65
S05,Treatment,GENE1,68
S06,Treatment,GENE1,77
S01,Control,GENE2,75
S02,Control,GENE2,74
S03,Control,GENE2,73
S04,Control,GENE2,87
S05,Control,GENE2,73
S06,Control,GENE2,87
S01,Treatment,GENE2,75
S02,Treatment,GENE2,71
S03,Treatment,GENE2,76
S04,Treatment,GENE2,66
S05,Treatment,GENE2,76
S06,Treatment,GENE2,80
S01,Control,GENE3,18
S02,Control,GENE3,14
S03,Control,GENE3,10
S04,Control,GENE3,20
S05,Control,GENE3,24
S06,Control,GENE3,21
S01,Treatment,GENE3,17
S02,Treatment,GENE3,20
S03,Treatment,GENE3,20
S04,Treatment,GENE3,24
S05,Treatment,GENE3,23
S06,Treatment,GENE3,20
